,date,description,amount,type,account_number,currency
55,2025-05-17,GOOGLE *PUBLICPARKIN,-9.01,debit,MT84MALT011000012345MTLCAST001S,EUR
56,2025-05-17,DOMINO'S PIZZA ONLINE MLT,-10.99,debit,MT84MALT011000012345MTLCAST001S,EUR
57,2025-05-18,TECH STORE ONLINE NLD,-98.63,debit,MT84MALT011000012345MTLCAST001S,EUR
58,2025-05-20,GOOGLE *CINEMATICKET,-48.56,debit,MT84MALT011000012345MTLCAST001S,EUR
59,2025-05-20,MCDONALD'S #67132 MT,-127.82,debit,MT84MALT011000012345MTLCAST001S,EUR
60,2025-05-21,STARBUCKS ONLINE ESP,-16.03,debit,MT84MALT011000012345MTLCAST001S,EUR
61,2025-05-21,NETFLIX ONLINE NLD,-57.25,debit,MT84MALT011000012345MTLCAST001S,EUR
63,2025-05-22,AMZN Mktp DE,-12.09,debit,MT84MALT011000012345MTLCAST001S,EUR
62,2025-05-22,LIDL #53687,-21.69,debit,MT84MALT011000012345MTLCAST001S,EUR
64,2025-05-23,CARD PURCHASE CINEMA TICKETS STORE #3634 LDN,-20.5,debit,MT84MALT011000012345MTLCAST001S,EUR
65,2025-05-24,AMZN Mktp EU,-22.68,debit,MT84MALT011000012345MTLCAST001S,EUR
66,2025-05-26,TECH STORE ONLINE NLD,-121.71,debit,MT84MALT011000012345MTLCAST001S,EUR
67,2025-05-27,NETFLIX #82102,-29.13,debit,MT84MALT011000012345MTLCAST001S,EUR
68,2025-05-27,POS 576919 PARKING GARAGE MT BIRKIRKARA,-3.0,debit,MT84MALT011000012345MTLCAST001S,EUR
69,2025-05-28,CARD PURCHASE SPOTIFY STORE #6153 LDN,-21.15,debit,MT84MALT011000012345MTLCAST001S,EUR
70,2025-05-29,TKT*LOCALDELI,-22.29,debit,MT84MALT011000012345MTLCAST001S,EUR
71,2025-05-29,AMZN Mktp UK,-29.98,debit,MT84MALT011000012345MTLCAST001S,EUR
72,2025-05-30,Payroll ACME Ltd,2106.19,credit,MT84MALT011000012345MTLCAST001S,EUR
73,2025-05-30,CINEMA TICKETS #77449,-18.93,debit,MT84MALT011000012345MTLCAST001S,EUR
74,2025-05-31,POS 789606 STARBUCKS MT BIRKIRKARA,-11.91,debit,MT84MALT011000012345MTLCAST001S,EUR
76,2025-06-01,DOMINO'S PIZZA #17104,-8.8,debit,MT84MALT011000012345MTLCAST001S,EUR
77,2025-06-01,BOOKSTORE.COM 630-716-0414 US,-20.22,debit,MT84MALT011000012345MTLCAST001S,EUR
75,2025-06-01,DPZ MT-584417,-955.01,debit,MT84MALT011000012345MTLCAST001S,EUR
78,2025-06-03,AMZN Mktp DE,-35.36,debit,MT84MALT011000012345MTLCAST001S,EUR
79,2025-06-03,LOCAL DELI ONLINE MLT,-17.46,debit,MT84MALT011000012345MTLCAST001S,EUR
80,2025-06-04,BOOKSTORE ONLINE ESP,-108.05,debit,MT84MALT011000012345MTLCAST001S,EUR
81,2025-06-04,LOCAL DELI.COM 373-716-0414 US,-16.09,debit,MT84MALT011000012345MTLCAST001S,EUR
84,2025-06-05,NETFLIX ONLINE MLT,-15.22,debit,MT84MALT011000012345MTLCAST001S,EUR
83,2025-06-05,TKT*GAMESTORE,-40.33,debit,MT84MALT011000012345MTLCAST001S,EUR
82,2025-06-05,DPZ MT-237377,-21.67,debit,MT84MALT011000012345MTLCAST001S,EUR
85,2025-06-06,MCDONALD'S ONLINE ESP,-15.22,debit,MT84MALT011000012345MTLCAST001S,EUR
86,2025-06-08,POS 760626 NETFLIX MT BIRKIRKARA,-12.31,debit,MT84MALT011000012345MTLCAST001S,EUR
87,2025-06-08,MCDONALD'S #41365 MT,-18.46,debit,MT84MALT011000012345MTLCAST001S,EUR
88,2025-06-10,GOOGLE *CONCERT,-22.2,debit,MT84MALT011000012345MTLCAST001S,EUR
124,2025-06-10,REFUND ZARA ONLINE,45.5,credit,MT84MALT011000012345MTLCAST001S,EUR
89,2025-06-11,TKT*LIDL,-20.57,debit,MT84MALT011000012345MTLCAST001S,EUR
90,2025-06-12,DPZ MT-114338,-9.98,debit,MT84MALT011000012345MTLCAST001S,EUR
122,2025-06-15,AMAZON.COM USD - CONV TO EUR,-52.3,debit,MT84MALT011000012345MTLCAST001S,EUR
121,2025-06-15,USD FX FEE AMAZON US,-1.23,debit,MT84MALT011000012345MTLCAST001S,EUR
91,2025-06-16,DPZ MT-527809,-34.23,debit,MT84MALT011000012345MTLCAST001S,EUR
92,2025-06-16,CARD PURCHASE LOCAL DELI STORE #4681 LDN,-20.04,debit,MT84MALT011000012345MTLCAST001S,EUR
93,2025-06-17,CARD PURCHASE LOCAL DELI STORE #8560 LDN,-9.69,debit,MT84MALT011000012345MTLCAST001S,EUR
94,2025-06-17,CARD PURCHASE PUBLIC PARKING STORE #3522 LDN,-3.08,debit,MT84MALT011000012345MTLCAST001S,EUR
95,2025-06-18,CONCERT ONLINE MLT,-26.54,debit,MT84MALT011000012345MTLCAST001S,EUR
127,2025-06-18,MALTA POST LTD,-6.8,debit,MT84MALT011000012345MTLCAST001S,EUR
97,2025-06-19,DPZ MT-839677,-12.79,debit,MT84MALT011000012345MTLCAST001S,EUR
96,2025-06-19,TKT*PARKINGGAR,-5.29,debit,MT84MALT011000012345MTLCAST001S,EUR
126,2025-06-20,Starbucks,-4.55,debit,MT84MALT011000012345MTLCAST001S,EUR
125,2025-06-20,Starbucks,-4.85,debit,MT84MALT011000012345MTLCAST001S,EUR
98,2025-06-20,TKT*CONCERT,-36.91,debit,MT84MALT011000012345MTLCAST001S,EUR
128,2025-06-21,GOOGLE *GME,-12.99,debit,MT84MALT011000012345MTLCAST001S,EUR
99,2025-06-22,STARBUCKS #73242,-11.72,debit,MT84MALT011000012345MTLCAST001S,EUR
100,2025-06-23,MCDONALD'S ONLINE ESP,-24.61,debit,MT84MALT011000012345MTLCAST001S,EUR
102,2025-06-24,GOOGLE *PARKINGGARAG,-3.95,debit,MT84MALT011000012345MTLCAST001S,EUR
101,2025-06-24,BOOKSTORE ONLINE MLT,-37.64,debit,MT84MALT011000012345MTLCAST001S,EUR
129,2025-06-25,REVOLUT *P2P,-50.0,debit,MT84MALT011000012345MTLCAST001S,EUR
103,2025-06-25,LOCAL DELI #34983,-20.22,debit,MT84MALT011000012345MTLCAST001S,EUR
104,2025-06-26,MCDONALD'S #76616 MT,-21.21,debit,MT84MALT011000012345MTLCAST001S,EUR
105,2025-06-26,GOOGLE *LIDL,-14.41,debit,MT84MALT011000012345MTLCAST001S,EUR
106,2025-06-26,CARD PURCHASE PUBLIC PARKING STORE #5526 LDN,-7.79,debit,MT84MALT011000012345MTLCAST001S,EUR
108,2025-06-27,DPZ MT-380150,-100.77,debit,MT84MALT011000012345MTLCAST001S,EUR
107,2025-06-27,CONCERT #54548,-43.47,debit,MT84MALT011000012345MTLCAST001S,EUR
112,2025-06-28,CINEMA TICKETS ONLINE ESP,-15.4,debit,MT84MALT011000012345MTLCAST001S,EUR
110,2025-06-28,TKT*AMAZON,-121.11,debit,MT84MALT011000012345MTLCAST001S,EUR
111,2025-06-28,MCDONALD'S #86011 MT,-20.34,debit,MT84MALT011000012345MTLCAST001S,EUR
109,2025-06-28,POS 396578 PARKING GARAGE MT BIRKIRKARA,-6.18,debit,MT84MALT011000012345MTLCAST001S,EUR
113,2025-06-30,Payroll ACME Ltd,2048.42,credit,MT84MALT011000012345MTLCAST001S,EUR
114,2025-06-30,CINEMA TICKETS ONLINE MLT,-52.51,debit,MT84MALT011000012345MTLCAST001S,EUR
115,2025-07-01,PARKING GARAGE ONLINE NLD,-1.11,debit,MT84MALT011000012345MTLCAST001S,EUR
117,2025-07-01,DPZ MT-495533,-1027.89,debit,MT84MALT011000012345MTLCAST001S,EUR
116,2025-07-01,AMZN Mktp DE,-43.08,debit,MT84MALT011000012345MTLCAST001S,EUR
118,2025-07-02,STARBUCKS ONLINE NLD,-7.11,debit,MT84MALT011000012345MTLCAST001S,EUR
119,2025-07-04,DOMINO'S PIZZA.COM 814-716-0414 US,-20.49,debit,MT84MALT011000012345MTLCAST001S,EUR
120,2025-07-05,NETFLIX.COM 685-716-0414 US,-15.03,debit,MT84MALT011000012345MTLCAST001S,EUR
